"ch","part","comp","whole","idx","len","x","y","w","h"
"忪","1","公","公","0","0","74","33","166","199"
"忮","0","忄","怕","0","3","19","17","70","225"
"忮","1","支","歧","4","4","96","19","142","217"
"忸","0","忄","悄","0","3","18","17","64","218"
"忸","1","丑","紐","6","4","81","35","172","190"
"忻","0","忄","憶","0","3","12","18","70","225"
"忻","1","斤","折","3","4","85","19","149","229"
"怍","0","忄","憶","0","3","12","18","70","225"
"怍","1","乍","窄","5","5","84","25","149","214"
"怙","0","忄","憶","0","3","12","18","70","225"
"怙","1","古","苦","3","5","90","20","149","217"
"怦","0","忄","悄","0","3","12","18","70","225"
"怦","1","平","平","0","0","78","31","163","211"
"怩","0","忄","悄","0","3","12","18","70","225"
"怩","1","尼","尼","0","0","81","19","149","228"
"恁","0","任","荏","3","6","6","27","226","125"
"恁","1","心","心","0","0","15","160","220","79"
"恚","0","圭","街","6","6","18","14","218","135"
"恚","1","心","沁","3","4","20","166","220","79"
"悛","0","忄","怕","0","3","17","12","67","227"
"悛","1","夋","梭","4","7","86","9","147","237"
"悱","0","忄","憫","0","3","12","18","70","225"
"悱","1","非","排","3","8","75","17","171","223"
"惇","0","忄","悄","0","3","12","18","70","225"
"惇","1","享","孰","0","8","78","29","164","218"
"愆","0","衍","衍","0","0","21","19","206","150"
"愆","1","心","慝","10","4","8","171","219","75"
"愔","0","忄","怕","0","3","14","18","77","219"
"愔","1","音","意","0","9","84","16","159","216"
"愫","0","忄","憶","0","3","12","18","70","225"
"愫","1","素","素","0","0","78","21","159","223"
"慪","0","忄","忙","0","3","16","19","66","219"
"慪","1","區","嘔","3","11","88","25","159","200"
"慳","0","忄","悄","0","3","12","21","66","219"
"慳","1","堅","堅","0","0","87","30","151","200"
"慵","0","忄","憶","0","3","16","23","59","216"
"慵","1","庸","庸","0","0","71","13","171","229"
"憋","0","敝","蔽","3","11","30","14","215","154"
"憋","1","心","慝","10","4","11","174","225","73"
"憨","0","敢","橄","4","12","22","20","221","158"
"憨","1","心","心","0","0","6","181","225","63"
"懞","0","忄","憎","0","3","16","19","66","219"
"懞","1","蒙","濛","3","14","84","19","156","221"
"懟","0","對","對","0","0","21","19","214","148"
"懟","1","心","心","0","0","17","171","219","69"
"懨","0","忄","悄","0","3","8","20","66","219"
"懨","1","厭","魘","0","14","71","24","161","218"
"戇","0","贛","贛","0","0","12","16","229","175"
"戇","1","心","慝","10","4","16","196","228","50"
"戥","0","星","惺","3","9","20","28","126","192"
"戥","1","戈","戕","4","4","129","18","103","217"
"戧","0","倉","蒼","3","10","16","12","135","232"
"戧","1","戈","戢","9","4","140","31","106","210"
"戽","0","戶","扈","0","4","5","25","221","198"
"戽","1","斗","斗","0","0","57","105","178","141"
"扃","0","戶","扁","0","4","15","8","201","236"
"扃","1","冋","迥","3","5","76","115","156","130"
"扞","0","扌","扣","0","3","19","10","88","222"
"扞","1","干","刊","0","3","98","37","132","218"
"扺","0","扌","捎","0","3","17","16","88","222"
"扺","1","氏","氐","0","4","112","15","128","222"
"拊","0","扌","摟","0","3","2","11","88","222"
"拊","1","付","付","0","0","89","18","156","218"
"挂","0","扌","捎","0","3","8","16","88","222"
"挂","1","圭","畦","5","6","85","22","156","218"
"挓","0","扌","扣","0","3","9","13","88","222"
"挓","1","宅","宅","0","0","92","11","143","233"
"挲","0","沙","莎","3","7","32","12","207","107"
"挲","1","手","手","0","0","16","132","228","110"
"挹","0","扌","搜","0","3","15","22","76","210"
