"ch","part","comp","whole","idx","len","x","y","w","h"
"罌","1","缶","缶","0","0","16","136","217","93"
"羖","0","羊","羊","0","0","18","16","106","237"
"羖","1","殳","役","3","4","105","25","134","217"
"羝","0","羊","羊","0","0","2","14","106","237"
"羝","1","氐","抵","3","5","117","28","121","217"
"羠","0","羊","羊","0","0","5","10","106","237"
"羠","1","夷","胰","6","6","94","20","134","218"
"羭","0","羊","羊","0","0","14","15","86","237"
"羭","1","俞","愈","0","9","81","10","162","235"
"羼","0","尸","尾","0","3","1","1","217","213"
"羼","1","羊","羊","0","0","55","62","170","84"
"羼","2","羊","羊","0","0","42","132","100","109"
"羼","3","羊","羊","0","0","144","137","93","103"
"翊","0","立","翌","6","5","6","10","106","192"
"翊","1","羽","羽","0","0","105","27","134","217"
"耄","0","老","老","0","0","13","26","227","105"
"耄","1","毛","毽","0","4","16","131","222","104"
"耋","0","老","耆","0","6","17","18","219","109"
"耋","1","至","至","0","0","19","133","214","104"
"耨","0","耒","耒","0","0","4","19","103","230"
"耨","1","辱","辱","0","0","106","26","142","219"
"耵","0","耳","聱","10","6","10","32","112","202"
"耵","1","丁","丁","0","0","118","35","116","200"
"耷","0","大","奩","0","3","6","9","244","93"
"耷","1","耳","聾","16","6","26","105","203","141"
"聵","0","耳","聱","10","6","7","32","112","203"
"聵","1","貴","貴","0","0","100","22","146","233"
"聹","0","耳","聱","10","6","1","40","112","203"
"聹","1","寧","寧","0","0","95","22","150","221"
"肽","0","月","明","4","4","31","24","57","220"
"肽","1","太","太","0","0","87","22","144","223"
"胂","0","肉","臍","0","6","31","24","57","220"
"胂","1","申","暢","0","5","115","17","119","223"
"胗","0","肉","臍","0","6","31","24","57","220"
"胗","1","㐱","趁","7","5","96","14","144","223"
"胝","0","肉","臍","0","6","31","24","57","220"
"胝","1","氐","抵","3","5","111","21","134","223"
"胯","0","肉","臍","0","6","27","24","57","220"
"胯","1","夸","垮","3","6","93","14","144","231"
"胺","0","肉","腑","0","6","25","25","57","220"
"胺","1","安","安","0","0","86","18","152","223"
"胼","0","肉","臍","0","6","31","24","57","220"
"胼","1","并","并","0","0","104","21","144","223"
"脛","0","肉","膾","0","6","30","30","51","205"
"脛","1","巠","經","6","7","89","29","161","206"
"腊","0","肉","臍","0","6","29","26","57","220"
"腊","1","昔","鵲","0","8","97","18","144","223"
"腌","0","肉","臍","0","6","29","26","57","220"
"腌","1","奄","奄","0","0","87","17","144","223"
"腢","0","肉","臍","0","6","29","26","57","220"
"腢","1","禺","萬","3","9","107","26","144","223"
"腨","0","肉","膳","0","6","29","26","57","220"
"腨","1","耑","端","5","9","100","21","144","223"
"腩","0","肉","臍","0","6","29","26","57","220"
"腩","1","南","南","0","0","95","25","144","223"
"腴","0","肉","臍","0","6","29","26","57","220"
"腴","1","臾","臾","0","0","87","25","144","223"
"膂","0","旅","旅","0","0","9","11","234","123"
"膂","1","肉","腑","0","6","61","143","144","105"
"膍","0","肉","臍","0","6","29","26","57","220"
"膍","1","囟","媲","3","6","115","25","115","107"
"膍","2","比","皆","0","4","110","139","127","105"
"膘","0","肉","腑","0","6","29","26","57","220"
"膘","1","票","票","0","0","99","24","144","223"
"膹","0","肉","臍","0","6","29","26","57","220"
"膹","1","賁","賁","0","0","87","25","144","223"
"臊","0","肉","肪","0","6","29","14","47","220"
"臊","1","喿","噪","3","13","89","19","160","223"
"臢","0","肉","膳","0","6","23","23","47","220"
"臢","1","贊","贊","0","0","86","21","157","223"
"舴","0","舟","舟","0","0","12","4","105","233"
"舴","1","乍","咋","3","5","113","21","132","221"
"艋","0","舟","舟","0","0","6","9","105","233"
"艋","1","孟","孟","0","0","104","25","132","198"
"艫","0","舟","舟","0","0","14","6","76","233"
"艫","1","盧","蘆","3","16","89","1","149","238"
"芊","0","艹","茲","0","3","25","17","213","51"
"芊","1","千","千","0","0","20","78","219","172"
"芎","0","艹","萌","0","3","25","16","213","58"
"芎","1","弓","弓","0","0","36","86","192","158"
"芡","0","艹","蓀","0","3","20","15","211","53"
"芡","1","欠","吹","3","4","1","59","247","193"
"芩","0","艹","蒜","0","3","20","15","211","53"
"芩","1","今","含","0","4","10","67","225","178"
"芪","0","艹","賁","2","3","22","13","213","67"
"芪","1","氏","氏","0","0","44","84","180","162"
"芫","0","艹","萌","0","3","20","15","211","53"
"芫","1","元","玩","4","4","18","87","228","163"
"芮","0","艹","萌","0","3","20","15","211","53"
"芮","1","內","鈉","8","4","40","64","178","183"
"芯","0","艹","菌","0","3","13","22","231","57"
"芯","1","心","慝","10","4","12","93","225","141"
"芷","0","艹","茲","0","3","15","25","227","59"
"芷","1","止","正","1","4","15","87","226","152"
"芸","0","艹","萌","0","3","20","20","226","61"
"芸","1","云","云","0","0","16","101","225","137"
"苕","0","艹","茲","0","3","19","18","222","55"
"苕","1","召","召","0","0","36","84","170","164"
"苡","0","艹","茲","0","3","22","13","213","67"
"苡","1","以","以","0","0","45","88","184","150"
"苯","0","艹","茁","0","3","22","13","213","67"
"苯","1","本","本","0","0","20","60","209","180"
"苷","0","艹","萌","0","3","22","13","213","67"
"苷","1","甘","疳","5","5","22","77","209","170"
"苻","0","艹","茲","0","3","26","15","204","55"
"苻","1","付","付","0","0","5","65","246","176"
"茈","0","艹","菌","0","3","25","22","217","51"
"茈","1","此","紫","0","6","13","82","234","159"
"茌","0","艹","茲","0","3","26","15","204","55"
"茌","1","仕","仕","0","0","16","76","217","170"
"茜","0","艹","蒜","0","3","24","16","217","51"
"茜","1","西","迺","3","6","23","88","217","152"
"茨","0","艹","茲","0","3","22","13","213","67"
"茨","1","次","次","0","0","32","69","209","180"
"茬","0","艹","菌","0","3","22","13","213","67"
"茬","1","在","在","0","0","23","67","209","180"
"茭","0","艹","茁","0","3","22","13","213","67"
"茭","1","交","蛟","6","6","17","66","209","180"
"茯","0","艹","萌","0","3","24","16","217","51"
"茯","1","伏","伏","0","0","13","75","208","168"
"茼","0","艹","茲","0","3","14","9","213","67"
"茼","1","同","同","0","0","45","75","174","164"
"荃","0","艹","茁","0","3","13","27","225","52"
"荃","1","全","全","0","0","23","71","220","168"
"荇","0","艹","茲","0","3","22","13","213","67"
"荇","1","行","行","0","0","23","71","209","180"
"荽","0","艹","茲","0","3","17","12","223","55"
"荽","1","妥","妥","0","0","19","68","219","171"
"莆","0","艹","茲","0","3","12","24","230","47"
"莆","1","甫","圃","3","7","24","54","212","186"
"莝","0","艹","萌","0","3","17","12","223","55"
"莝","1","坐","挫","3","7","17","66","216","174"
"莧","0","艹","茲","0","3","12","14","230","52"
"莧","1","見","現","4","7","18","80","215","174"
"菀","0","艹","茲","0","3","11","15","229","55"
"菀","1","宛","豌","7","8","1","62","232","193"
"菇","0","艹","茲","0","3","22","16","217","52"
"菇","1","姑","姑","0","0","19","66","222","183"
"菔","0","艹","茲","0","3","22","16","217","52"
"菔","1","服","服","0","0","28","73","188","166"
"菕","0","艹","萌","0","3","22","16","217","52"
"菕","1","侖","侖","0","0","14","57","222","183"
"菖","0","艹","茲","0","3","18","15","221","50"
"菖","1","昌","倡","2","8","37","75","179","163"
"菟","0","艹","蒞","0","3","16","14","223","51"
"菟","1","兔","兔","0","0","15","68","230","175"
"菡","0","艹","茲","0","3","26","15","204","51"
"菡","1","函","函","0","0","32","77","189","158"
"萇","0","艹","茲","0","3","19","9","217","52"
"萇","1","長","長","0","0","15","78","222","162"
"萏","0","艹","萌","0","3","22","16","217","52"
"萏","1","臽","焰","4","8","12","63","201","183"
"萑","0","艹","茲","0","3","26","15","204","51"
"萑","1","隹","雀","3","8","16","60","214","179"
"萭","0","艹","萌","0","3","22","16","217","52"
"萭","1","禹","禹","0","0","32","63","186","183"
"葚","0","艹","茲","0","3","22","16","217","52"
"葚","1","甚","甚","0","0","24","67","215","175"
"葭","0","艹","蓀","0","3","15","9","229","62"
"葭","1","叚","霞","8","9","29","86","207","153"
"葳","0","艹","萌","0","3","22","16","217","52"
"葳","1","威","威","0","0","1","50","244","199"
"葺","0","艹","茲","0","3","18","15","221","50"
"葺","1","咠","楫","4","9","22","72","226","172"
"蒡","0","艹","菌","0","3","22","16","217","52"
"蒡","1","旁","磅","5","10","10","61","222","183"
"蒯","0","艹","菌","0","3","21","11","140","57"
"蒯","1","朋","硼","5","8","17","81","139","158"
"蒯","2","刂","釗","8","2","186","20","40","215"
"蒺","0","艹","茲","0","3","22","16","217","52"
"蒺","1","疾","嫉","3","10","9","62","222","183"
"蒻","0","艹","茲","0","3","22","16","217","52"
"蒻","1","弱","溺","3","10","21","72","201","162"
"蓏","0","艹","菌","0","3","22","16","217","52"
"蓏","1","瓜","呱","3","5","18","70","110","159"
"蓏","2","瓜","孤","3","5","103","64","127","177"
"蓼","0","艹","芥","0","3","26","11","204","51"
"蓼","1","翏","寥","3","11","19","67","213","184"
"蓽","0","艹","茲","0","3","18","15","221","50"
"蓽","1","畢","畢","0","0","20","71","205","175"
"蔦","0","艹","茲","0","3","22","16","217","52"
"蔦","1","鳥","鴨","5","11","29","59","194","183"
"蔻","0","艹","萌","0","3","22","16","217","52"
"蔻","1","寇","寇","0","0","18","58","222","183"
"蕁","0","艹","芥","0","3","26","15","204","51"
"蕁","1","尋","尋","0","0","16","66","226","172"
"蕎","0","艹","茁","0","3","22","16","217","52"
"蕎","1","喬","轎","7","12","18","65","212","183"
"蕒","0","艹","茲","0","3","22","16","217","52"
"蕒","1","買","買","0","0","23","64","197","183"
"蕓","0","艹","茲","0","3","22","16","217","52"
"蕓","1","雲","雲","0","0","33","66","196","173"
"蕕","0","艹","茲","0","3","22","16","217","52"
"蕕","1","猶","猶","0","0","14","63","222","183"
"蕖","0","艹","茲","0","3","22","16","217","52"
"蕖","1","渠","渠","0","0","9","62","222","183"
"蕡","0","艹","芥","0","3","22","16","217","52"
"蕡","1","賁","噴","3","12","15","57","222","188"
"蕻","0","艹","茲","0","3","22","16","217","52"
"蕻","1","镸","套","3","7","9","75","108","150"
"蕻","2","共","共","0","0","106","72","137","173"
"薈","0","艹","茁","0","3","22","16","217","52"
"薈","1","會","會","0","0","16","48","222","193"
"薌","0","艹","茲","0","3","22","16","217","52"
"薌","1","鄉","響","0","12","20","62","222","183"
"薏","0","艹","芥","0","3","22","16","217","52"
"薏","1","意","意","0","0","12","57","222","183"
"薤","0","艹","茲","0","3","22","16","217","52"
"薤","1","歹","死","0","4","1","87","110","151"
"薤","2","韭","韭","0","0","96","69","130","162"
"薴","0","艹","茲","0","3","22","16","217","52"
"薴","1","寧","擰","3","14","15","56","222","191"
"薹","0","艹","芥","0","3","22","16","217","52"
"薹","1","臺","臺","0","0","13","52","222","190"
"薺","0","艹","菌","0","3","22","16","217","52"
"薺","1","齊","擠","3","14","17","51","222","199"
"藎","0","艹","茲","0","3","22","16","217","52"
"藎","1","盡","盡","0","0","15","62","222","183"
"藜","0","艹","芥","0","3","26","15","204","51"
"藜","1","黎","黎","0","0","16","68","219","171"
"藭","0","艹","茲","0","3","22","16","217","52"
"藭","1","窮","窮","0","0","30","59","197","183"
"蘘","0","艹","萌","0","3","23","6","217","52"
"蘘","1","襄","嚷","3","17","18","50","226","197"
"蘥","0","艹","萌","0","3","10","11","234","51"
"蘥","1","龠","鑰","8","17","25","49","214","195"
"虯","0","虫","蛙","0","6","21","19","103","221"
"虯","1","丩","糾","6","2","151","24","67","213"
"虺","0","兀","兀","0","0","6","42","241","210"
"虺","1","虫","蝕","8","6","110","28","130","190"
"蚍","0","虫","虹","0","6","13","21","83","223"
"蚍","1","比","仳","2","4","119","22","117","222"
"蚜","0","虫","虫","0","0","16","31","89","197"
"蚜","1","牙","呀","3","4","88","37","155","208"
"蛉","0","虫","蛇","0","6","16","38","89","196"
"蛉","1","令","零","8","5","90","16","146","218"
"蛐","0","虫","虫","0","0","16","40","84","203"
"蛐","1","曲","曲","0","0","120","26","112","212"
"蜆","0","虫","虫","0","0","19","27","91","204"
"蜆","1","見","現","4","7","91","32","150","216"
"蜉","0","虫","蚊","0","6","14","24","97","214"
"蜉","1","孚","俘","2","7","99","23","148","220"
"蜊","0","虫","虫","0","0","16","23","81","214"
"蜊","1","利","莉","3","7","85","15","143","230"
"蜋","0","虫","虫","0","0","20","31","86","204"
"蜋","1","良","良","0","0","119","18","120","221"
"蜍","0","虫","蛭","0","6","14","28","86","203"
"蜍","1","余","荼","3","7","89","12","147","232"
"蜒","0","虫","蚊","0","6","14","22","79","204"
"蜒","1","延","涎","3","8","84","34","153","207"
"蜚","0","非","啡","3","8","15","28","226","98"
"蜚","1","虫","虫","0","0","34","126","202","112"
"蜡","0","虫","蜂","0","6","15","23","88","205"
"蜡","1","昔","錯","8","8","99","17","153","223"
"蜩","0","虫","蚊","0","6","20","22","88","196"
"蜩","1","周","週","3","8","100","20","135","218"
"蜷","0","虫","虫","0","0","14","34","85","195"
"蜷","1","卷","卷","0","0","88","11","153","239"
"蝓","0","虫","虹","0","6","16","23","78","209"
"蝓","1","俞","俞","0","0","94","16","143","229"
"蝟","0","虫","虫","0","0","19","30","95","203"
"蝟","1","胃","謂","7","9","125","19","111","227"
"蝣","0","虫","蛀","0","6","12","14","80","199"
"蝣","1","斿","遊","3","9","80","7","165","234"
"蝮","0","虫","蚊","0","6","17","29","88","201"
"蝮","1","复","馥","9","9","97","11","147","234"
"蝲","0","虫","蚌","0","6","14","24","81","199"
"蝲","1","剌","喇","3","9","85","20","149","226"
"螄","0","虫","虹","0","6","12","28","72","200"
"螄","1","師","師","0","0","96","22","150","224"
"螅","0","虫","蜂","0","6","21","24","80","200"
"螅","1","息","息","0","0","97","31","149","214"
"螽","0","冬","冬","0","0","17","22","221","125"
"螽","1","虫","虫","0","0","20","136","103","104"
"螽","2","虫","蝕","8","6","135","139","103","99"
"蟄","0","執","執","0","0","10","23","238","119"
"蟄","1","虫","虫","0","0","27","145","201","90"
"蟠","0","虫","蜂","0","6","15","26","81","198"
"蟠","1","番","鄱","0","12","84","19","161","219"
"蟪","0","虫","蛭","0","6","24","26","79","194"
"蟪","1","惠","惠","0","0","98","25","144","212"
"蟾","0","虫","蛙","0","6","15","29","84","195"
"蟾","1","詹","詹","0","0","89","6","148","229"
"蠆","0","萬","萬","0","0","16","19","227","144"
"蠆","1","虫","蛭","0","6","37","163","200","79"
"蠊","0","虫","蛋","5","6","10","22","80","200"
"蠊","1","廉","濂","3","13","81","12","158","236"
"衊","0","血","血","0","0","16","21","88","170"
"衊","1","蔑","蔑","0","0","90","12","153","241"
"衕","0","行","行","0","0","5","20","229","220"
"衕","1","同","同","0","0","87","22","78","197"
"衚","0","行","行","0","0","5","20","229","220"
"衚","1","胡","葫","3","9","66","20","105","209"
"衲","0","衤","裨","0","5","1","25","88","222"
"衲","1","內","內","0","0","113","18","114","218"
"衽","0","衤","複","0","5","10","16","86","226"
"衽","1","壬","壬","0","0","92","33","145","193"
"衿","0","衤","衫","0","5","10","15","88","222"
"衿","1","今","岑","3","4","101","14","138","222"
"袢","0","衤","袍","0","5","12","20","78","215"
"袢","1","半","半","0","0","101","21","141","219"
"袤","0","衣","哀","0","6","1","1","233","254"
"袤","1","矛","茅","3","5","17","58","195","85"
"袷","0","衤","衫","0","5","16","18","73","215"
"袷","1","合","合","0","0","86","21","163","216"
"裎","0","衤","複","0","5","11","28","78","215"
"裎","1","呈","逞","3","7","91","32","152","203"
"裱","0","衤","複","0","5","11","25","78","215"
"裱","1","表","婊","3","8","96","31","145","219"
"褕","0","衤","複","0","5","7","20","84","220"
"褕","1","俞","俞","0","0","89","19","148","228"
"襁","0","衤","複","0","5","2","17","73","220"
"襁","1","強","強","0","0","84","26","159","217"
"襐","0","衤","袍","0","5","5","18","78","221"
"襐","1","象","豫","4","12","84","8","160","246"
"襜","0","衤","複","0","5","4","20","78","215"
"襜","1","詹","澹","3","13","73","7","166","235"
"襦","0","衤","複","0","5","9","18","78","223"
"襦","1","需","嚅","3","14","94","28","147","218"
"襬","0","衤","衫","0","5","8","19","73","218"
"襬","1","罷","罷","0","0","87","27","156","215"
"覷","0","虛","虛","0","0","13","19","130","215"
"覷","1","見","覦","9","7","131","33","110","202"
"觔","0","角","觸","0","7","13","16","95","218"
"觔","1","力","勸","17","2","115","26","118","213"
"觚","0","角","觸","0","7","11","20","95","228"
"觚","1","瓜","弧","3","5","103","23","140","229"
"觜","0","此","些","0","6","15","12","220","76"
"觜","1","角","觸","0","7","27","101","184","150"
"觥","0","角","解","0","7","13","16","97","221"
"觥","1","光","胱","6","6","117","22","130","223"
"訇","0","勹","勿","0","2","25","17","214","231"
"訇","1","言","辯","7","7","51","48","151","179"
"訑","0","訁","註","0","7","14","29","90","205"
"訑","1","也","地","3","3","98","19","145","226"
"詎","0","訁","註","0","7","12","23","91","212"
"詎","1","巨","苣","3","5","125","35","122","200"
"詗","0","訁","訃","0","7","17","26","87","202"
"詗","1","冋","迥","3","5","122","21","110","222"
"詡","0","訁","訝","0","7","11","15","88","218"
"詡","1","羽","扇","4","6","101","34","131","199"
"誄","0","訁","訂","0","7","10","21","88","218"
"誄","1","耒","耒","0","0","94","19","141","219"
"誆","0","訁","護","0","7","11","24","80","218"
"誆","1","匡","框","4","6","107","38","131","194"
"誚","0","訁","註","0","7","21","23","93","213"
"誚","1","肖","鞘","9","7","133","14","93","230"
"誹","0","訁","護","0","7","12","20","80","212"
"誹","1","非","啡","3","8","93","8","148","239"
"諛","0","訁","訃","0","7","15","20","84","212"
"諛","1","臾","萸","3","8","92","17","134","228"
"諡","0","訁","護","0","7","9","29","83","202"
"諡","1","兮","兮","0","0","87","24","149","130"
"諡","2","皿","皿","0","0","90","165","153","66"
"諢","0","訁","護","0","7","13","24","81","198"
"諢","1","軍","軍","0","0","98","20","143","221"
"諳","0","訁","訂","0","7","16","24","75","208"
"諳","1","音","音","0","0","96","23","148","212"
"謅","0","訁","護","0","7","12","31","82","200"
"謅","1","芻","雛","0","10","87","19","150","226"
"謐","0","訁","護","0","7","11","23","83","208"
"謐","1","必","祕","4","5","93","23","142","115"
"謐","2","皿","皿","0","0","93","153","146","75"
"謔","0","訁","訃","0","7","13","24","81","198"
"謔","1","虐","虐","0","0","83","19","154","227"
"謖","0","訁","註","0","7","15","27","82","200"
"謖","1","畟","稷","5","10","93","25","149","221"
"謫","0","訁","護","0","7","13","31","82","200"
"謫","1","啇","敵","0","11","98","23","150","226"
"謳","0","訁","護","0","7","8","29","81","195"
"謳","1","區","歐","0","11","93","35","149","199"
"謾","0","訁","護","0","7","19","26","76","206"
"謾","1","曼","幔","3","11","102","30","133","215"
"譙","0","訁","護","0","7","15","20","79","216"
"譙","1","焦","蕉","3","12","96","15","147","222"
"譫","0","訁","護","0","7","13","27","83","201"
"譫","1","詹","澹","3","13","77","6","164","232"
"護","0","訁","護","0","7","10","29","79","199"
"護","1","蒦","護","7","13","86","15","154","225"
"譽","0","與","舉","0","14","7","15","241","131"
"譽","1","言","譽","13","7","31","136","199","114"
"讂","0","訁","詼","0","7","19","28","67","201"
"讂","1","敻","瓊","4","15","84","19","155","227"
"讎","0","隹","雉","5","8","14","9","86","229"
"讎","1","言","辯","7","7","105","20","55","218"
"讎","2","隹","雉","5","8","159","4","92","237"
"讞","0","訁","訝","0","7","9","23","57","191"
"讞","1","獻","獻","0","0","74","9","162","226"
"豇","0","豆","逗","3","7","6","40","112","187"
"豇","1","工","工","0","0","120","46","115","181"
"豭","0","豕","豚","6","7","3","31","99","207"
"豭","1","叚","遐","3","9","110","26","127","216"
"豳","0","山","山","0","0","32","14","198","235"
"豳","1","豕","逐","3","7","50","50","66","158"
"豳","2","豕","家","3","7","145","48","71","159"
"豶","0","豕","逐","3","7","13","37","93","196"
"豶","1","賁","賁","0","0","94","23","158","224"
"貅","0","豸","貍","0","7","2","24","101","210"
"貅","1","休","休","0","0","85","5","148","239"
"貔","0","豸","貊","0","7","11","28","101","210"
"貔","1","囟","媲","3","6","120","15","99","116"
"貔","2","比","仳","2","4","116","141","127","100"
"貰","0","世","世","0","0","25","17","201","71"
"貰","1","貝","貳","5","7","18","109","211","143"
"貺","0","貝","貳","5","7","9","28","94","218"
"貺","1","兄","兄","0","0","101","20","136","223"
"賕","0","貝","貳","5","7","9","32","83","200"
"賕","1","求","球","4","7","103","24","140","219"
"贄","0","執","執","0","0","13","9","232","114"
"贄","1","貝","貳","5","7","16","128","202","119"
"贓","0","貝","贓","0","7","13","30","63","205"
"贓","1","臧","臧","0","0","75","33","168","215"
"趄","0","走","趟","0","7","15","21","222","217"
"趄","1","且","且","0","0","99","31","140","169"
"趑","0","走","趣","0","7","15","21","222","217"
"趑","1","次","次","0","0","115","20","124","188"
"趖","0","走","趟","0","7","15","19","222","219"
"趖","1","坐","挫","3","7","104","17","124","177"
"蹩","0","敝","敝","0","0","28","14","215","107"
"蹩","1","足","足","0","0","19","132","215","113"
"軜","0","車","軍","2","7","6","17","119","214"
"軜","1","內","內","0","0","131","14","104","228"
"軫","0","車","輕","0","7","4","20","116","222"
"軫","1","㐱","參","6","5","114","12","118","234"
"軲","0","車","軸","0","7","8","19","116","221"
"軲","1","古","古","0","0","106","33","139","212"
"軹","0","車","連","3","7","7","14","120","222"
"軹","1","只","咫","4","5","121","34","125","198"
"軺","0","車","連","3","7","9","10","121","226"
"軺","1","召","迢","3","5","115","36","118","199"
"輗","0","車","連","3","7","11","21","100","216"
"輗","1","兒","兒","0","0","98","28","140","210"
"輮","0","車","連","3","7","4","15","108","226"
"輮","1","柔","柔","0","0","95","27","151","220"
"轆","0","車","連","3","7","1","15","112","226"
"轆","1","鹿","麝","0","11","98","16","146","235"
"轑","0","車","連","3","7","1","11","112","227"
"轑","1","尞","嘹","3","12","94","12","149","230"
"轗","0","車","連","3","7","1","11","101","226"
"轗","1","感","感","0","0","88","15","159","225"
"轙","0","車","連","3","7","1","12","108","226"
"轙","1","義","儀","2","13","104","20","136","228"
"轟","0","車","車","0","0","17","10","222","138"
"轟","1","車","連","3","7","9","120","122","135"
"轟","2","車","軍","2","7","121","119","122","136"
"轤","0","車","連","3","7","5","11","99","226"
"轤","1","盧","爐","4","16","92","11","148","230"
"辯","0","辛","辛","0","0","1","16","94","234"
"辯","1","言","譽","13","7","95","13","67","228"
"辯","2","辛","辛","0","0","156","19","93","229"
"迍","0","辶","遮","0","3","4","30","230","218"
"迍","1","屯","屯","0","0","83","24","147","190"
"迸","0","辶","遞","0","3","8","33","224","217"
"迸","1","并","并","0","0","86","23","149","187"
"逑","0","辶","遮","0","3","7","26","232","216"
"逑","1","求","求","0","0","84","20","154","191"
"逶","0","辶","遮","0","3","7","26","232","216"
"逶","1","委","委","0","0","75","27","154","190"
"遛","0","辶","遮","0","3","7","26","232","216"
"遛","1","留","留","0","0","78","26","154","186"
"遯","0","辶","遮","0","3","7","26","232","216"
"遯","1","豚","豚","0","0","89","23","154","188"
"遶","0","辶","遮","0","3","4","39","236","210"
"遶","1","堯","繞","6","12","74","23","164","186"
"邅","0","辶","遮","0","3","7","26","232","216"
"邅","1","亶","顫","0","13","75","25","154","183"
"邈","0","辶","遁","0","3","7","26","232","216"
"邈","1","貌","藐","3","14","64","22","173","196"
"邋","0","辶","遮","0","3","7","26","232","216"
"邋","1","巤","獵","3","15","89","18","154","196"
"邗","0","干","刊","0","3","21","35","123","198"
"邗","1","阝","郵","8","2","160","25","95","214"
"邯","0","甘","甘","0","0","6","15","148","223"
"邯","1","阝","郵","8","2","161","23","94","217"
"邳","0","丕","胚","6","5","11","28","133","181"
"邳","1","阝","郵","8","2","165","26","86","214"
"邴","0","丙","陋","2","5","20","29","123","198"
"邴","1","阝","郵","8","2","168","28","83","212"
"郝","0","赤","赤","0","0","20","20","135","208"
"郝","1","阝","郵","8","2","170","34","81","214"
"鄔","0","烏","烏","0","0","18","8","123","222"
"鄔","1","阝","郵","8","2","169","38","83","209"
"鄞","0","堇","勤","0","11","16","18","130","200"
"鄞","1","阝","郵","8","2","171","26","80","214"
"鄲","0","單","單","0","0","8","20","152","222"
"鄲","1","阝","郵","8","2","169","31","86","204"
"酢","0","酉","酉","0","0","18","29","112","203"
"酢","1","乍","柞","4","5","128","20","110","220"
"酲","0","酉","酋","2","7","13","31","101","203"
"酲","1","呈","呈","0","0","114","26","132","205"
"酶","0","酉","酋","2","7","13","26","101","213"
"酶","1","每","梅","4","7","112","12","124","223"
"醅","0","酉","酣","0","7","14","32","97","203"
"醅","1","咅","倍","2","8","114","18","133","224"
"醊","0","酉","酋","2","7","16","29","85","201"
"醊","1","叕","綴","6","8","114","24","124","216"
"醍","0","酉","酉","0","0","14","28","95","197"
"醍","1","是","堤","3","9","103","27","140","210"
"醐","0","酉","酋","2","7","12","27","87","195"
"醐","1","胡","葫","3","9","103","14","128","228"
"醚","0","酉","酉","0","0","11","29","85","203"
"醚","1","迷","迷","0","0","101","25","139","222"
"醛","0","酉","酩","0","7","13","31","95","203"
"醛","1","荃","荃","0","0","96","21","142","214"
"醢","0","酉","酉","0","0","12","30","88","199"
"醢","1","右","若","3","5","99","22","128","114"
"醢","2","皿","盂","3","5","107","158","137","75"
"醪","0","酉","酬","0","7","16","29","93","202"
"醪","1","翏","繆","6","11","114","28","124","214"
"醮","0","酉","酣","0","7","13","30","94","199"
"醮","1","焦","憔","3","12","105","23","139","214"
"醱","0","酉","酉","0","0","13","29","81","194"
"醱","1","發","撥","3","12","94","15","141","227"
"醴","0","酉","酋","2","7","13","34","93","202"
"醴","1","豊","澧","3","13","102","19","147","219"
"釭","0","釒","釵","0","8","14","29","99","204"
"釭","1","工","工","0","0","98","52","139","182"
"釱","0","釒","鍥","0","8","15","19","91","210"
"釱","1","大","大","0","0","106","18","131","221"
"鈃","0","釒","鍥","0","8","9","16","107","219"
"鈃","1","开","邢","0","4","113","41","123","211"
"鈇","0","釒","釧","0","8","7","20","102","213"
"鈇","1","夫","芙","3","4","99","19","136","221"
"鈒","0","釒","鍥","0","8","14","26","96","203"
"鈒","1","及","吸","3","4","91","40","149","206"
"鈦","0","釒","鍥","0","8","20","21","91","209"
"鈦","1","太","太","0","0","101","17","136","221"
"鈹","0","釒","鍥","0","8","7","17","105","214"
"鈹","1","皮","皴","7","5","97","27","146","205"
"鈿","0","釒","鍥","0","8","11","22","103","214"
"鈿","1","田","苗","3","5","129","37","97","204"
"鉅","0","釒","釧","0","8","8","25","105","205"
"鉅","1","巨","苣","3","5","128","31","115","213"
"鉆","0","釒","釧","0","8","16","26","99","211"
"鉆","1","占","占","0","0","137","21","110","219"
"鉏","0","釒","鍥","0","8","13","20","96","205"
"鉏","1","且","俎","4","5","94","31","161","198"
"鉚","0","釒","鍬","0","8","6","20","105","214"
"鉚","1","卯","柳","4","5","124","18","111","230"
"鉞","0","釒","鎂","0","8","10","26","98","210"
"鉞","1","戉","越","7","5","123","30","113","220"
"鉦","0","釒","鏽","0","8","15","26","93","205"
"鉦","1","正","正","0","0","105","40","137","190"
"鉧","0","釒","鍥","0","8","5","20","102","209"
"鉧","1","母","母","0","0","96","38","150","206"
"銃","0","釒","鍥","0","8","12","19","98","210"
"銃","1","充","統","6","5","112","13","129","231"
"銍","0","釒","釧","0","8","8","28","98","210"
"銍","1","至","至","0","0","105","36","138","200"
"銚","0","釒","鍥","0","8","9","18","96","209"
"銚","1","兆","桃","4","6","107","24","134","214"
"銨","0","釒","釧","0","8","6","27","99","206"
"銨","1","安","安","0","0","102","17","138","222"
"銲","0","釒","鐮","0","8","15","23","92","210"
"銲","1","旱","趕","7","7","102","28","149","209"
"鋃","0","釒","鍥","0","8","8","18","93","210"
"鋃","1","良","狼","3","7","119","19","124","214"
"鋋","0","釒","鍥","0","8","8","18","92","210"
"鋋","1","延","涎","3","8","90","36","159","211"
"鋌","0","釒","鍥","0","8","8","18","92","210"
"鋌","1","廷","蜓","6","7","89","30","152","214"
